Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,6.990000,7.028000,6.920000,7.006000,7.006000,924000
2018-11-26,7.222000,7.270000,7.188000,7.238000,7.238000,1350500
2018-11-27,7.242000,7.242000,7.162000,7.220000,7.220000,912500
2018-11-28,7.420000,7.500000,7.400000,7.500000,7.500000,2595000
2018-11-29,7.664000,7.718000,7.654000,7.676000,7.676000,1235500
2018-11-30,7.590000,7.590000,7.530000,7.574000,7.574000,1539500
2018-12-03,7.700000,7.700000,7.620000,7.680000,7.680000,1787000
2018-12-04,7.348000,7.348000,7.142000,7.144000,7.144000,5241500
2018-12-06,7.060000,7.138000,6.936000,7.120000,7.120000,3329000
2018-12-07,7.276000,7.300000,7.130000,7.178000,7.178000,1379000
2018-12-10,7.238000,7.316000,7.166000,7.260000,7.260000,2994500
2018-12-11,7.338000,7.338000,7.118000,7.172000,7.172000,3923000
2018-12-12,7.200000,7.248000,7.178000,7.180000,7.180000,5399000
2018-12-13,7.180000,7.234000,7.160000,7.194000,7.194000,1705000
2018-12-14,7.010000,7.064000,7.010000,7.026000,7.026000,1779000
2018-12-17,6.974000,7.030000,6.914000,6.946000,6.946000,2440000
2018-12-18,6.920000,6.940000,6.862000,6.898000,6.898000,1217500
2018-12-19,6.694000,6.734000,6.520000,6.552000,6.552000,3368000
2018-12-20,6.726000,6.814000,6.698000,6.784000,6.784000,3720500
2018-12-21,6.492000,6.568000,6.382000,6.382000,6.382000,2786000
2018-12-24,6.410000,6.444000,6.276000,6.306000,6.306000,1226000
2018-12-26,6.404000,6.556000,6.366000,6.540000,6.540000,2588500
2018-12-27,6.512000,6.580000,6.426000,6.580000,6.580000,1193500
2018-12-28,6.630000,6.642000,6.562000,6.592000,6.592000,1310000
2018-12-31,6.660000,6.660000,6.494000,6.620000,6.620000,1491000
2019-01-02,6.546000,6.716000,6.486000,6.706000,6.706000,1034500
2019-01-03,6.668000,6.728000,6.608000,6.650000,6.650000,1054000
2019-01-04,6.522000,6.756000,6.502000,6.730000,6.730000,2001500
2019-01-07,6.784000,6.934000,6.784000,6.882000,6.882000,1224500
2019-01-08,6.988000,6.988000,6.898000,6.948000,6.948000,1207000
2019-01-09,7.060000,7.112000,7.050000,7.100000,7.100000,1493500
2019-01-10,6.914000,6.998000,6.862000,6.978000,6.978000,1717000
2019-01-11,6.970000,6.990000,6.926000,6.968000,6.968000,724500
2019-01-14,6.976000,7.170000,6.976000,7.104000,7.104000,3169000
2019-01-15,7.242000,7.368000,7.200000,7.344000,7.344000,3480500
2019-01-16,7.368000,7.404000,7.342000,7.344000,7.344000,2530500
2019-01-17,7.586000,7.672000,7.544000,7.620000,7.620000,1465000
2019-01-18,7.780000,7.868000,7.780000,7.850000,7.850000,2098000
2019-01-22,7.660000,7.722000,7.584000,7.604000,7.604000,3001500
2019-01-23,7.664000,7.738000,7.606000,7.658000,7.658000,1455000
2019-01-24,7.756000,7.762000,7.700000,7.748000,7.748000,819000
2019-01-25,7.762000,7.762000,7.726000,7.740000,7.740000,1791500
2019-01-28,7.464000,7.490000,7.328000,7.400000,7.400000,2349000
2019-01-29,7.630000,7.672000,7.618000,7.632000,7.632000,2326500
2019-01-30,7.600000,7.750000,7.600000,7.740000,7.740000,2142000
2019-01-31,7.518000,7.520000,7.354000,7.448000,7.448000,3848000
2019-02-01,7.048000,7.134000,7.040000,7.084000,7.084000,2864000
2019-02-04,7.310000,7.346000,7.154000,7.346000,7.346000,1104000
2019-02-05,7.156000,7.174000,7.118000,7.168000,7.168000,1112500
2019-02-06,6.738000,6.776000,6.704000,6.706000,6.706000,2716500
2019-02-07,6.638000,6.656000,6.586000,6.652000,6.652000,1725500
2019-02-08,6.490000,6.594000,6.490000,6.576000,6.576000,1380000
2019-02-11,6.596000,6.596000,6.404000,6.522000,6.522000,2630000
2019-02-12,6.620000,6.648000,6.616000,6.620000,6.620000,2232000
2019-02-13,6.776000,6.780000,6.732000,6.762000,6.762000,1317000
2019-02-14,6.710000,6.768000,6.652000,6.740000,6.740000,1944500
2019-02-15,6.624000,6.734000,6.624000,6.732000,6.732000,932500
2019-02-19,6.626000,6.682000,6.608000,6.672000,6.672000,1590000
2019-02-20,6.660000,6.724000,6.652000,6.670000,6.670000,2022000
2019-02-21,6.738000,7.080000,6.700000,6.988000,6.988000,8966000
2019-02-22,6.966000,7.208000,6.930000,7.108000,7.108000,9453000
2019-02-25,6.982000,6.998000,6.872000,6.880000,6.880000,8402000
2019-02-26,6.874000,6.960000,6.866000,6.954000,6.954000,3368500
2019-02-27,7.110000,7.168000,7.052000,7.116000,7.116000,4427000
2019-02-28,6.880000,6.900000,6.818000,6.850000,6.850000,4732500
2019-03-01,6.926000,6.950000,6.866000,6.934000,6.934000,2462500
2019-03-04,6.810000,6.828000,6.704000,6.742000,6.742000,3426500
2019-03-05,6.796000,6.826000,6.750000,6.810000,6.810000,1389000
2019-03-06,6.910000,6.958000,6.910000,6.930000,6.930000,744500
2019-03-07,6.834000,6.834000,6.744000,6.762000,6.762000,1333000
2019-03-08,6.656000,6.686000,6.612000,6.680000,6.680000,892500
2019-03-11,6.670000,6.762000,6.630000,6.756000,6.756000,1148500
2019-03-12,6.870000,6.894000,6.820000,6.858000,6.858000,2057000
2019-03-13,6.960000,6.984000,6.906000,6.974000,6.974000,1412000
2019-03-14,6.784000,6.808000,6.780000,6.790000,6.790000,1084500
2019-03-15,6.960000,6.996000,6.940000,6.984000,6.984000,1634500
2019-03-18,7.150000,7.194000,7.140000,7.178000,7.178000,1440000
2019-03-19,7.058000,7.074000,6.952000,7.024000,7.024000,2961500
2019-03-20,6.806000,6.882000,6.798000,6.820000,6.820000,2228000
2019-03-21,6.816000,6.904000,6.812000,6.886000,6.886000,2510000
2019-03-22,6.880000,6.918000,6.802000,6.820000,6.820000,1034500
2019-03-25,6.970000,7.034000,6.940000,6.986000,6.986000,2370500
2019-03-26,7.224000,7.270000,7.200000,7.250000,7.250000,3360000
